ID,Action,MsgOrder,MessageType,MessageText,MessageImage,MessageVideo,MessageButtons,MessageQuickReplies
1,msg_WelcomeMessage_1,1,Text,"Every day, in every way, I'm getting better and better - Emile Coue",,,,
2,msg_WelcomeMessage_2,1,Buttons,"Hi There ! I am arise.ai, lets find and learn relavant skills together. ",http://www.walnutai.com/static/curiousWorkbench/images/sunIcon.jpg,,lets do it:GET_USER_LOCATION:P,
3,msg_WelcomeMessage_3,1,Text,-,,,,
4,msg_askUserLocation,1,Text,First I need to learn a few things. Where do you live? Give me a Zip code . Eg: 94404,,,,
5,msg_ackUserLocation,1,Text,Thats [[actionGetLocationFromPin]],,,,
6,msg_askUserRole,1,Text,Tell me your role at work. I currently support the following roles.,,,,text:Product Manager:ROLE_PRODUCT_MANAGER
7,msg_askUserCompany,1,Text,And you work at ? Eg: Google Inc,,,,
8,msg_ackUserInfo,1,Text,"Awesome, Thats good for now.",,,,
9,msg_analyzeSkillInfo,1,Text,"Ok, I analyzed 300 jobs postings in a 30 mile radius from your Zip code.",,,,text:show me:ROLE_DEMAND_INFO
10,msg_roleDemandInfo,1,Text,[[actionGetRoleDemandInfo]],http://www.walnutai.com/static/curiousWorkbench/images/non-technical-product-management-skills-1366x683-1.jpg,,"Lets Self Eval:SELF_EVAL_SKILLS:P, More:SHOW_OPTIONS:P",
11,msg_askSelfEvalSkills,1,Buttons,Rate your self on “Product market fit”,http://www.walnutai.com/static/curiousWorkbench/images/non-technical-product-management-skills-1366x683-1.jpg,,"I use it every day:RECORD_SKILL_EVAL:P,I am aware:RECORD_SKILL_EVAL:P,not sure:RECORD_SKILL_EVAL:P",
12,msg_ackSkillInfo,1,Text,Got It! ,,,,
13,msg_showOptions,1,Buttons,What would you like to do today,http://www.walnutai.com/static/curiousWorkbench/images/sunWhatToDo.jpg,,"Learn something new:SHOW_RECO:P, my skills :ROLE_DEMAND_INFO:P, check progress:CHECK_PROGRESS:P",
14,msg_ShowReco,1,Buttons,[[actionGetReco]],http://www.walnutai.com/static/curiousWorkbench/images/non-technical-product-management-skills-1366x683-1.jpg,,"Learn something new:SHOW_RECO:P, my skills :ROLE_DEMAND_INFO:P, check progress:CHECK_PROGRESS:P",
15,msg_SearchEventsAsk,1,Text,Enter a topic to search,,,,
16,msg_ShowRecoSingle,1,Buttons,[[actionGetSingleReco]],http://www.walnutai.com/static/curiousWorkbench/images/non-technical-product-management-skills-1366x683-1.jpg,,"Next:SHOW_RECO:P, More:WELCOME_INIT_1:P,share::S",
17,msg_SearchContent,1,Buttons,[[actionGetSearch]],http://www.walnutai.com/static/curiousWorkbench/images/non-technical-product-management-skills-1366x683-1.jpg,,"Next:SHOW_RECO:P, More:SHOW_OPTIONS:P,share::S",
18,msg_recordEvalSkill,1,Text,"Ok , I have made a note, Lets work on that",http://www.walnutai.com/static/curiousWorkbench/images/non-technical-product-management-skills-1366x683-1.jpg,,,
19,msg_checkProgress,1,Text,[[actionGetUserProgress]],,,,
20,msg_introduction,1,Buttons,Lets get started,http://www.walnutai.com/static/curiousWorkbench/images/sunIcon.jpg,,ok:WELCOME_INIT_1:P,
21,msg_introduce_2,1,Text,na,,,,
22,msg_restart,1,Text,"ok, Let start all over again",,,,
23,msg_showQuestions,1,Buttons,[[actionAskQuestion]],http://www.walnutai.com/static/curiousWorkbench/images/non-technical-product-management-skills-1366x683-1.jpg,,,
24,msg_reviewAnswerToQuestion,1,Text,[[actionReviewAnswer]],,,,
25,msg_showModule,1,Buttons,[[actionGetModule]],,,,
26,msg_startModule,1,Text,[[actionStartModule]],,,,
27,msg_nextModuleContent,1,Text,[[actionNextModuleContent]],,,,
28,msg_oops,1,Text,oops!!,,,,
29,msg_analyzeSkillInfoImage,1,Image,NA,http://www.walnutai.com/static/curiousWorkbench/images/skillAnalysis.png,,,
